,A,B,C,Z,P
10019,3992,496,146,23,98
10075,562,24,25,10,16
10010,1574,205,54,16,35
10002,2639,551,138,70,91
10033,644,113,23,3,12
10001,2792,429,101,20,81
10038,1165,102,22,8,32
10028,1156,174,37,13,78
10032,631,158,67,22,40
10040,372,77,26,6,29
10004,847,94,17,10,14
10022,2707,324,127,24,45
10016,2616,479,165,49,80
10036,3517,481,134,36,128
10013,2870,621,213,49,96
10034,541,135,50,5,27
10021,897,108,44,9,28
10018,2108,192,132,16,46
10025,1313,254,72,27,41
10003,3916,569,152,52,112
10167,21,0,0,0,0
10121,444,3,0,1,0
10023,1086,85,48,12,38
10017,2077,334,133,40,56
10009,1656,371,66,20,40
10169,126,3,0,0,0
10024,1054,181,46,13,46
10065,1104,171,53,19,53
10011,2511,364,83,30,52
10014,2227,305,60,23,76
10006,263,29,32,1,8
10031,597,162,60,14,23
10029,1120,266,79,20,47
10012,2384,308,80,33,92
10271,20,6,0,0,0
10119,149,13,2,0,0
10035,436,100,54,7,23
10282,105,12,6,0,0
10027,878,207,46,14,44
10128,884,164,41,8,26
10026,414,135,18,5,10
10020,210,6,7,2,0
10007,835,90,35,8,13
10005,413,30,24,9,12
10030,183,17,5,2,19
10111,46,9,3,1,7
10178,26,0,0,0,0
10280,168,24,0,0,0
10037,160,47,4,6,9
10107,6,0,0,0,0
10039,183,21,12,7,7
10103,31,4,0,0,0
10041,7,0,0,0,0
10281,73,8,0,0,0
10106,15,0,0,0,0
10118,49,0,0,0,0
10279,24,5,0,0,0
10000,15,0,0,0,0
10112,76,3,2,0,0
10048,3,0,0,0,0
10105,25,0,0,0,0
10123,7,0,0,0,0
10173,4,0,0,0,0
10179,8,0,0,0,0
10044,45,0,2,0,0
10165,2,4,2,0,1
10174,16,0,0,0,0
10154,21,0,0,0,0
10069,10,0,0,1,0
10171,8,0,0,0,0
10172,5,0,0,0,0
10110,6,0,0,0,0
10168,9,0,0,0,0
10170,16,0,0,0,0
10153,4,0,0,0,0
10055,8,0,0,0,0
10176,6,0,0,0,0
10115,10,0,0,0,0
10158,4,0,0,0,0
10155,2,0,0,0,0
10177,6,0,0,0,0
10080,3,0,0,0,0
,,,,,
count,82,82,82,82,82
mean,721.5,110.6463415,33.51219512,9.317073171,22.32926829
std,1024.106804,161.7703274,48.79213757,14.38524454,31.77002815
min,2,0,0,0,0
max,3992,621,213,70,128
